,Company Name,job_title,seniority,min_salary,max_salary,Rating,python,sql,r_studio,spark,aws,excel,sector,age,Revenue,Type of ownership,description_len,min_employees,max_employees,avg_size,avg_salary
172,Bangor University,na,na,26,41,3.7,1,0,0,0,0,1,education,-1,$100 to $500 million (USD),College / University,10271,1001,5000,3000.0,33.5
173,Pfizer,na,na,26,41,4.2,0,0,0,0,0,1,medical,172,$10+ billion (USD),Public,4674,10000,10000,10000.0,33.5
174,Philips,na,na,26,41,4.2,0,0,0,0,0,0,medical,130,$10 to $25 million (USD),Public,4348,10000,10000,10000.0,33.5
175,Syngenta,na,senior,26,41,4.0,0,0,0,0,1,1,production,21,$10 to $25 million (USD),Private,4358,10000,10000,10000.0,33.5
176,King.com,na,na,26,41,3.2,0,0,0,0,0,1,inforamtion tech,18,Unknown / Non-Applicable,Public,3754,1001,5000,3000.0,33.5
177,Veolia,na,na,26,41,3.5,0,1,0,0,0,1,public,168,$2 to $5 billion (USD),Public,4700,10000,10000,10000.0,33.5
178,Global Project Resources Limited,na,na,26,41,-1.0,0,0,0,0,0,0,public,4,Unknown / Non-Applicable,Private,2538,1,50,26.0,33.5
179,Express Recruitment,na,na,26,41,-1.0,0,0,0,0,0,0,public,-1,Less than $1 million (USD),Private,1667,5001,10000,7500.0,33.5
180,Harnham,analyst,na,26,41,4.0,1,1,0,0,0,1,public,15,$25 to $50 million (USD),Private,1532,51,200,126.0,33.5
181,EF Education First,analyst,senior,26,41,3.4,0,1,0,0,1,0,education,56,Unknown / Non-Applicable,Private,3307,10000,10000,10000.0,33.5
182,CHM Recruit,manager,na,22,30,-1.0,0,0,0,0,0,1,public,-1,$10+ billion (USD),Organization,3543,10000,10000,10000.0,26.0
183,Costain,consultant,na,22,30,3.8,0,0,0,0,0,0,public,-1,$1 to $2 billion (USD),Public,5738,1001,5000,3000.0,26.0
184,The Hut Group,manager,na,22,30,3.3,0,0,0,0,0,0,retail,17,$500 million to $1 billion (USD),Private,3810,5001,10000,7500.0,26.0
185,OpenMarket,data scientist,senior,22,30,4.5,1,0,0,0,0,1,inforamtion tech,22,$100 to $500 million (USD),Venture,3322,201,500,350.0,26.0
186,Jaguar Land Rover,data engineer,na,22,30,3.7,1,1,0,0,0,1,production,13,$10+ billion (USD),Private,3725,10000,10000,10000.0,26.0
187,Man Group,na,na,22,30,3.6,1,1,0,0,0,1,finance,238,$50 to $100 million (USD),Public,7009,1001,5000,3000.0,26.0
